x,y,value
23,1,0.028193613
24,1,0.142797738
25,1,0.039504325
26,1,0.03825682
27,1,0.194444444
28,1,0.292248836
29,1,0.213988689
30,1,0.20342648
31,1,0.11169328
32,1,0.147704591
33,1,0.220808383
34,1,0.14412841
35,1,0.349135063
36,1,0.049650699
37,1,0.697272122
38,1,0.532850965
39,1,0.382817698
40,1,0.353043912
41,1,0.212907518
42,1,0.151946108
43,1,0.258732535
44,1,0.086244178
45,1,0.486027944
46,1,0.060296075
47,1,0.278193613
48,1,0.183632735
49,1,0.119677312
50,1,0.09589155
51,1,0.305306055
52,1,0.142298736
53,1,0.26081171
54,1,0.188622754
55,1,0.136976048
56,1,0.060379242
57,1,0.168995343
58,1,0.011310712
59,1,0.09256487
60,1,0.966400532
61,1,0.379407851
62,1,0.00499002
63,1,0.656769794
64,1,0.358616101
65,1,0.193779108
66,1,0.077677977
67,1,0.193030605
68,1,0.09422821
69,1,0.483117099
70,1,0.528526281
71,1,0.411926148
72,1,0.249001996
73,1,0.124251497
74,1,0.403193613
75,1,0.489853626
76,1,0.395874917
77,1,0.4667332
78,1,0.082667997
79,1,0.057052562
80,1,0.092481703
81,1,0.034514305
82,1,0.074767132
83,1,0.091067864
84,1,0.054391218
85,1,1
86,1,0.266051231
87,1,0
88,1,0.086576846
89,1,0.325598802
90,1,0.325848303
91,1,0.185129741
92,1,0.307052562
93,1,0.267797738
94,1,0.473137059
95,1,0.173486361
96,1,0.119427811
97,1,0.046989355
98,1,0.180888224
99,1,0.099800399
100,1,0.012225549
101,1,0.064454424
102,1,0.117431803
103,1,0.335163007
104,1,0.06262475
105,1,0.364105123
106,1,0.134065203
107,1,0.713905522
108,1,0.565535595
109,1,0.024035263
110,1,0.099384564
111,1,0.50748503
112,1,0.4750499
113,1,0.338157019
114,1,0.40161344
115,1,0.077428476
116,1,0.122089155
117,1,0.034763806
118,1,0.155189621
119,1,0.041833001
120,1,0.053975383
121,1,0.006819694
122,1,0.066866267
123,1,0.03493014
124,1,0.032684631
125,1,0.021124418
126,1,0.050815037
127,1,0.139221557
128,1,0.206254158
129,1,0.050565536
130,1,0.041749834
131,1,0.264055223
132,1,0.025365935
133,1,0.512724551
134,1,0.003659348
135,1,0.083166999
136,1,0.105289421
137,1,0.091151031
138,1,0.15660346
139,1,0.187541584
140,1,0.019710579
141,1,0.081004657
142,1,0.00499002
143,1,0.020958084
144,1,0.098220226
145,1,0.053809049
146,1,0.051230872
147,1,0.009065203
148,1,0.010479042
149,1,0.01247505
150,1,0.007817698
151,1,0.00415835
152,1,0.014803726
153,1,0.030355955
154,1,0.006320692
155,1,0.025948104
156,1,0.051314039
157,1,0.182717898
158,1,0.112608117
